"ID","Site","UnitID","StartingAddress","Size","CombinedHex","DecodedValue"
"Alert 5 Time","192.168.12.73",0,228,4,"'0000000000000000","0"
"Alert 5 Type","192.168.12.73",0,232,1,"'0000",0
"Alert 5 Message","192.168.12.73",0,233,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 6 Time","192.168.12.73",0,253,4,"'0000000000000000","0"
"Alert 6 Type","192.168.12.73",0,257,1,"'0000",0
"Alert 6 Message","192.168.12.73",0,258,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 7 Time","192.168.12.73",0,278,4,"'0000000000000000","0"
"Alert 7 Type","192.168.12.73",0,282,1,"'0000",0
"Alert 7 Message","192.168.12.73",0,283,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 8 Time","192.168.12.73",0,303,4,"'0000000000000000","0"
"Alert 8 Type","192.168.12.73",0,307,1,"'0000",0
"Alert 8 Message","192.168.12.73",0,308,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Site Operational Mode","192.168.12.73",0,328,1,"'000B",11
"Site Type","192.168.12.73",0,329,1,"'0002",2
"Stow Logic","192.168.12.73",0,330,1,"'0001",1
"====================================================================================================","","","","","",""
"","","","","","",""
"Position: 1 | DeviceType: ","","","","","",""
"====================================================================================================","","","","","",""
"System ID","192.168.12.73",0,512,3,"'000000000000",""
"Site Name","192.168.12.73",0,515,10,"'0000000000000000000000000000000000000000",""
"Organization","192.168.12.73",0,525,10,"'0000000000000000000000000000000000000000",""
"Contact","192.168.12.73",0,535,10,"'0000000000000000000000000000000000000000",""
"System Uptime","192.168.12.73",0,545,4,"'0000000000000000","0"
"SW Version","192.168.12.73",0,549,8,"'00000000000000000000000000000000",""
"Has WX","192.168.12.73",0,557,1,"'0000",0
"E-Stop Active","192.168.12.73",0,558,1,"'0000",0
"Tracking Enabled","192.168.12.73",0,559,1,"'0000",0
"Backtracking Enabled","192.168.12.73",0,560,1,"'0000",0
"Panel Angle","192.168.12.73",0,561,2,"'00000000",0
"Tracking State","192.168.12.73",0,563,1,"'0000",0
"Unit Temp","192.168.12.73",0,564,2,"'00000000",0
"Battery Voltage","192.168.12.73",0,566,2,"'00000000",0
"Battery Current","192.168.12.73",0,568,2,"'00000000",0
"Battery Charged","192.168.12.73",0,570,1,"'0000",0
"Battery Health","192.168.12.73",0,571,1,"'0000",0
"Charger Voltage","192.168.12.73",0,572,2,"'00000000",0
"Charger Current","192.168.12.73",0,574,2,"'00000000",0
"Solar Voltage","192.168.12.73",0,576,2,"'00000000",0
"Solar Current","192.168.12.73",0,578,2,"'00000000",0
"Total Assets","192.168.12.73",0,580,1,"'0000",0
"Assets Reporting","192.168.12.73",0,581,1,"'0000",0
"Poll Response Time","192.168.12.73",0,582,4,"'0000000000000000","0"
"Bridge Addr","192.168.12.73",0,586,2,"'00000000",0
"Bridge Script CRC","192.168.12.73",0,588,1,"'0000",0
"Bridge Channel","192.168.12.73",0,589,1,"'0000",0
"Bridge NET_ID","192.168.12.73",0,590,1,"'0000",0
"GPS Fix Acquired","192.168.12.73",0,591,1,"'0000",0
"GPS Fix Time","192.168.12.73",0,592,4,"'0000000000000000","0"
"Satellites","192.168.12.73",0,596,1,"'0000",0
"Latitude","192.168.12.73",0,597,2,"'00000000",0
"Longitude","192.168.12.73",0,599,2,"'00000000",0
"PPP Up","192.168.12.73",0,601,1,"'0000",0
"RSSI","192.168.12.73",0,602,1,"'0000",0
"WAN IP","192.168.12.73",0,603,8,"'00000000000000000000000000000000",""
"LAN IP","192.168.12.73",0,611,8,"'00000000000000000000000000000000",""
"Modem Uptime","192.168.12.73",0,619,2,"'00000000",0
"NTP Sync","192.168.12.73",0,621,1,"'0000",0
"NTP Server","192.168.12.73",0,622,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"NTP Offset","192.168.12.73",0,638,2,"'00000000",0
"Alert 1 Time","192.168.12.73",0,640,4,"'0000000000000000","0"
"Alert 1 Type","192.168.12.73",0,644,1,"'0000",0
"Alert 1 Message","192.168.12.73",0,645,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 2 Time","192.168.12.73",0,665,4,"'0000000000000000","0"
"Alert 2 Type","192.168.12.73",0,669,1,"'0000",0
"Alert 2 Message","192.168.12.73",0,670,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 3 Time","192.168.12.73",0,690,4,"'0000000000000000","0"
"Alert 3 Type","192.168.12.73",0,694,1,"'0000",0
"Alert 3 Message","192.168.12.73",0,695,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 4 Time","192.168.12.73",0,715,4,"'0000000000000000","0"
"Alert 4 Type","192.168.12.73",0,719,1,"'0000",0
"Alert 4 Message","192.168.12.73",0,720,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 5 Time","192.168.12.73",0,740,4,"'0000000000000000","0"
"Alert 5 Type","192.168.12.73",0,744,1,"'0000",0
"Alert 5 Message","192.168.12.73",0,745,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 6 Time","192.168.12.73",0,765,4,"'0000000000000000","0"
"Alert 6 Type","192.168.12.73",0,769,1,"'0000",0
"Alert 6 Message","192.168.12.73",0,770,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 7 Time","192.168.12.73",0,790,4,"'0000000000000000","0"
"Alert 7 Type","192.168.12.73",0,794,1,"'0000",0
"Alert 7 Message","192.168.12.73",0,795,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 8 Time","192.168.12.73",0,815,4,"'0000000000000000","0"
"Alert 8 Type","192.168.12.73",0,819,1,"'0000",0
"Alert 8 Message","192.168.12.73",0,820,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Site Operational Mode","192.168.12.73",0,840,1,"'0000",0
"Site Type","192.168.12.73",0,841,1,"'0000",0
"Stow Logic","192.168.12.73",0,842,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"Position: 2 | DeviceType: ","","","","","",""
"====================================================================================================","","","","","",""
"System ID","192.168.12.73",0,1024,3,"'000000000000",""
"Site Name","192.168.12.73",0,1027,10,"'0000000000000000000000000000000000000000",""
"Organization","192.168.12.73",0,1037,10,"'0000000000000000000000000000000000000000",""
"Contact","192.168.12.73",0,1047,10,"'0000000000000000000000000000000000000000",""
"System Uptime","192.168.12.73",0,1057,4,"'0000000000000000","0"
"SW Version","192.168.12.73",0,1061,8,"'00000000000000000000000000000000",""
"Has WX","192.168.12.73",0,1069,1,"'0000",0
"E-Stop Active","192.168.12.73",0,1070,1,"'0000",0
"Tracking Enabled","192.168.12.73",0,1071,1,"'0000",0
"Backtracking Enabled","192.168.12.73",0,1072,1,"'0000",0
"Panel Angle","192.168.12.73",0,1073,2,"'00000000",0
"Tracking State","192.168.12.73",0,1075,1,"'0000",0
"Unit Temp","192.168.12.73",0,1076,2,"'00000000",0
"Battery Voltage","192.168.12.73",0,1078,2,"'00000000",0
"Battery Current","192.168.12.73",0,1080,2,"'00000000",0
"Battery Charged","192.168.12.73",0,1082,1,"'0000",0
"Battery Health","192.168.12.73",0,1083,1,"'0000",0
"Charger Voltage","192.168.12.73",0,1084,2,"'00000000",0
"Charger Current","192.168.12.73",0,1086,2,"'00000000",0
"Solar Voltage","192.168.12.73",0,1088,2,"'00000000",0
"Solar Current","192.168.12.73",0,1090,2,"'00000000",0
"Total Assets","192.168.12.73",0,1092,1,"'0000",0
"Assets Reporting","192.168.12.73",0,1093,1,"'0000",0
"Poll Response Time","192.168.12.73",0,1094,4,"'0000000000000000","0"
"Bridge Addr","192.168.12.73",0,1098,2,"'00000000",0
"Bridge Script CRC","192.168.12.73",0,1100,1,"'0000",0
"Bridge Channel","192.168.12.73",0,1101,1,"'0000",0
"Bridge NET_ID","192.168.12.73",0,1102,1,"'0000",0
"GPS Fix Acquired","192.168.12.73",0,1103,1,"'0000",0
"GPS Fix Time","192.168.12.73",0,1104,4,"'0000000000000000","0"
"Satellites","192.168.12.73",0,1108,1,"'0000",0
"Latitude","192.168.12.73",0,1109,2,"'00000000",0
"Longitude","192.168.12.73",0,1111,2,"'00000000",0
"PPP Up","192.168.12.73",0,1113,1,"'0000",0
"RSSI","192.168.12.73",0,1114,1,"'0000",0
"WAN IP","192.168.12.73",0,1115,8,"'00000000000000000000000000000000",""
"LAN IP","192.168.12.73",0,1123,8,"'00000000000000000000000000000000",""
"Modem Uptime","192.168.12.73",0,1131,2,"'00000000",0
"NTP Sync","192.168.12.73",0,1133,1,"'0000",0
"NTP Server","192.168.12.73",0,1134,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"NTP Offset","192.168.12.73",0,1150,2,"'00000000",0
"Alert 1 Time","192.168.12.73",0,1152,4,"'0000000000000000","0"
"Alert 1 Type","192.168.12.73",0,1156,1,"'0000",0
"Alert 1 Message","192.168.12.73",0,1157,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 2 Time","192.168.12.73",0,1177,4,"'0000000000000000","0"
"Alert 2 Type","192.168.12.73",0,1181,1,"'0000",0
"Alert 2 Message","192.168.12.73",0,1182,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 3 Time","192.168.12.73",0,1202,4,"'0000000000000000","0"
"Alert 3 Type","192.168.12.73",0,1206,1,"'0000",0
"Alert 3 Message","192.168.12.73",0,1207,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 4 Time","192.168.12.73",0,1227,4,"'0000000000000000","0"
"Alert 4 Type","192.168.12.73",0,1231,1,"'0000",0
"Alert 4 Message","192.168.12.73",0,1232,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 5 Time","192.168.12.73",0,1252,4,"'0000000000000000","0"
"Alert 5 Type","192.168.12.73",0,1256,1,"'0000",0
"Alert 5 Message","192.168.12.73",0,1257,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 6 Time","192.168.12.73",0,1277,4,"'0000000000000000","0"
"Alert 6 Type","192.168.12.73",0,1281,1,"'0000",0
"Alert 6 Message","192.168.12.73",0,1282,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 7 Time","192.168.12.73",0,1302,4,"'0000000000000000","0"
"Alert 7 Type","192.168.12.73",0,1306,1,"'0000",0
"Alert 7 Message","192.168.12.73",0,1307,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 8 Time","192.168.12.73",0,1327,4,"'0000000000000000","0"
"Alert 8 Type","192.168.12.73",0,1331,1,"'0000",0
"Alert 8 Message","192.168.12.73",0,1332,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Site Operational Mode","192.168.12.73",0,1352,1,"'0000",0
"Site Type","192.168.12.73",0,1353,1,"'0000",0
"Stow Logic","192.168.12.73",0,1354,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"Position: 3 | DeviceType: ","","","","","",""
"====================================================================================================","","","","","",""
"System ID","192.168.12.73",0,1536,3,"'000000000000",""
"Site Name","192.168.12.73",0,1539,10,"'0000000000000000000000000000000000000000",""
"Organization","192.168.12.73",0,1549,10,"'0000000000000000000000000000000000000000",""
"Contact","192.168.12.73",0,1559,10,"'0000000000000000000000000000000000000000",""
"System Uptime","192.168.12.73",0,1569,4,"'0000000000000000","0"
"SW Version","192.168.12.73",0,1573,8,"'00000000000000000000000000000000",""
"Has WX","192.168.12.73",0,1581,1,"'0000",0
"E-Stop Active","192.168.12.73",0,1582,1,"'0000",0
"Tracking Enabled","192.168.12.73",0,1583,1,"'0000",0
"Backtracking Enabled","192.168.12.73",0,1584,1,"'0000",0
"Panel Angle","192.168.12.73",0,1585,2,"'00000000",0
"Tracking State","192.168.12.73",0,1587,1,"'0000",0
"Unit Temp","192.168.12.73",0,1588,2,"'00000000",0
"Battery Voltage","192.168.12.73",0,1590,2,"'00000000",0
"Battery Current","192.168.12.73",0,1592,2,"'00000000",0
"Battery Charged","192.168.12.73",0,1594,1,"'0000",0
"Battery Health","192.168.12.73",0,1595,1,"'0000",0
"Charger Voltage","192.168.12.73",0,1596,2,"'00000000",0
"Charger Current","192.168.12.73",0,1598,2,"'00000000",0
"Solar Voltage","192.168.12.73",0,1600,2,"'00000000",0
"Solar Current","192.168.12.73",0,1602,2,"'00000000",0
"Total Assets","192.168.12.73",0,1604,1,"'0000",0
"Assets Reporting","192.168.12.73",0,1605,1,"'0000",0
"Poll Response Time","192.168.12.73",0,1606,4,"'0000000000000000","0"
"Bridge Addr","192.168.12.73",0,1610,2,"'00000000",0
"Bridge Script CRC","192.168.12.73",0,1612,1,"'0000",0
"Bridge Channel","192.168.12.73",0,1613,1,"'0000",0
"Bridge NET_ID","192.168.12.73",0,1614,1,"'0000",0
"GPS Fix Acquired","192.168.12.73",0,1615,1,"'0000",0
"GPS Fix Time","192.168.12.73",0,1616,4,"'0000000000000000","0"
"Satellites","192.168.12.73",0,1620,1,"'0000",0
"Latitude","192.168.12.73",0,1621,2,"'00000000",0
"Longitude","192.168.12.73",0,1623,2,"'00000000",0
"PPP Up","192.168.12.73",0,1625,1,"'0000",0
"RSSI","192.168.12.73",0,1626,1,"'0000",0
"WAN IP","192.168.12.73",0,1627,8,"'00000000000000000000000000000000",""
"LAN IP","192.168.12.73",0,1635,8,"'00000000000000000000000000000000",""
"Modem Uptime","192.168.12.73",0,1643,2,"'00000000",0
"NTP Sync","192.168.12.73",0,1645,1,"'0000",0
"NTP Server","192.168.12.73",0,1646,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"NTP Offset","192.168.12.73",0,1662,2,"'00000000",0
"Alert 1 Time","192.168.12.73",0,1664,4,"'0000000000000000","0"
"Alert 1 Type","192.168.12.73",0,1668,1,"'0000",0
"Alert 1 Message","192.168.12.73",0,1669,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 2 Time","192.168.12.73",0,1689,4,"'0000000000000000","0"
"Alert 2 Type","192.168.12.73",0,1693,1,"'0000",0
"Alert 2 Message","192.168.12.73",0,1694,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 3 Time","192.168.12.73",0,1714,4,"'0000000000000000","0"
"Alert 3 Type","192.168.12.73",0,1718,1,"'0000",0
"Alert 3 Message","192.168.12.73",0,1719,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 4 Time","192.168.12.73",0,1739,4,"'0000000000000000","0"
"Alert 4 Type","192.168.12.73",0,1743,1,"'0000",0
"Alert 4 Message","192.168.12.73",0,1744,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 5 Time","192.168.12.73",0,1764,4,"'0000000000000000","0"
"Alert 5 Type","192.168.12.73",0,1768,1,"'0000",0
"Alert 5 Message","192.168.12.73",0,1769,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 6 Time","192.168.12.73",0,1789,4,"'0000000000000000","0"
"Alert 6 Type","192.168.12.73",0,1793,1,"'0000",0
"Alert 6 Message","192.168.12.73",0,1794,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 7 Time","192.168.12.73",0,1814,4,"'0000000000000000","0"
"Alert 7 Type","192.168.12.73",0,1818,1,"'0000",0
"Alert 7 Message","192.168.12.73",0,1819,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 8 Time","192.168.12.73",0,1839,4,"'0000000000000000","0"
"Alert 8 Type","192.168.12.73",0,1843,1,"'0000",0
"Alert 8 Message","192.168.12.73",0,1844,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Site Operational Mode","192.168.12.73",0,1864,1,"'0000",0
"Site Type","192.168.12.73",0,1865,1,"'0000",0
"Stow Logic","192.168.12.73",0,1866,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"Position: 4 | DeviceType: ","","","","","",""
"====================================================================================================","","","","","",""
"System ID","192.168.12.73",0,2048,3,"'000000000000",""
"Site Name","192.168.12.73",0,2051,10,"'0000000000000000000000000000000000000000",""
"Organization","192.168.12.73",0,2061,10,"'0000000000000000000000000000000000000000",""
"Contact","192.168.12.73",0,2071,10,"'0000000000000000000000000000000000000000",""
"System Uptime","192.168.12.73",0,2081,4,"'0000000000000000","0"
"SW Version","192.168.12.73",0,2085,8,"'00000000000000000000000000000000",""
"Has WX","192.168.12.73",0,2093,1,"'0000",0
"E-Stop Active","192.168.12.73",0,2094,1,"'0000",0
"Tracking Enabled","192.168.12.73",0,2095,1,"'0000",0
"Backtracking Enabled","192.168.12.73",0,2096,1,"'0000",0
"Panel Angle","192.168.12.73",0,2097,2,"'00000000",0
"Tracking State","192.168.12.73",0,2099,1,"'0000",0
"Unit Temp","192.168.12.73",0,2100,2,"'00000000",0
"Battery Voltage","192.168.12.73",0,2102,2,"'00000000",0
"Battery Current","192.168.12.73",0,2104,2,"'00000000",0
"Battery Charged","192.168.12.73",0,2106,1,"'0000",0
"Battery Health","192.168.12.73",0,2107,1,"'0000",0
"Charger Voltage","192.168.12.73",0,2108,2,"'00000000",0
"Charger Current","192.168.12.73",0,2110,2,"'00000000",0
"Solar Voltage","192.168.12.73",0,2112,2,"'00000000",0
"Solar Current","192.168.12.73",0,2114,2,"'00000000",0
"Total Assets","192.168.12.73",0,2116,1,"'0000",0
"Assets Reporting","192.168.12.73",0,2117,1,"'0000",0
"Poll Response Time","192.168.12.73",0,2118,4,"'0000000000000000","0"
"Bridge Addr","192.168.12.73",0,2122,2,"'00000000",0
"Bridge Script CRC","192.168.12.73",0,2124,1,"'0000",0
"Bridge Channel","192.168.12.73",0,2125,1,"'0000",0
"Bridge NET_ID","192.168.12.73",0,2126,1,"'0000",0
"GPS Fix Acquired","192.168.12.73",0,2127,1,"'0000",0
"GPS Fix Time","192.168.12.73",0,2128,4,"'0000000000000000","0"
"Satellites","192.168.12.73",0,2132,1,"'0000",0
"Latitude","192.168.12.73",0,2133,2,"'00000000",0
"Longitude","192.168.12.73",0,2135,2,"'00000000",0
"PPP Up","192.168.12.73",0,2137,1,"'0000",0
"RSSI","192.168.12.73",0,2138,1,"'0000",0
"WAN IP","192.168.12.73",0,2139,8,"'00000000000000000000000000000000",""
"LAN IP","192.168.12.73",0,2147,8,"'00000000000000000000000000000000",""
"Modem Uptime","192.168.12.73",0,2155,2,"'00000000",0
"NTP Sync","192.168.12.73",0,2157,1,"'0000",0
"NTP Server","192.168.12.73",0,2158,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"NTP Offset","192.168.12.73",0,2174,2,"'00000000",0
"Alert 1 Time","192.168.12.73",0,2176,4,"'0000000000000000","0"
"Alert 1 Type","192.168.12.73",0,2180,1,"'0000",0
"Alert 1 Message","192.168.12.73",0,2181,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 2 Time","192.168.12.73",0,2201,4,"'0000000000000000","0"
"Alert 2 Type","192.168.12.73",0,2205,1,"'0000",0
"Alert 2 Message","192.168.12.73",0,2206,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 3 Time","192.168.12.73",0,2226,4,"'0000000000000000","0"
"Alert 3 Type","192.168.12.73",0,2230,1,"'0000",0
"Alert 3 Message","192.168.12.73",0,2231,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 4 Time","192.168.12.73",0,2251,4,"'0000000000000000","0"
"Alert 4 Type","192.168.12.73",0,2255,1,"'0000",0
"Alert 4 Message","192.168.12.73",0,2256,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 5 Time","192.168.12.73",0,2276,4,"'0000000000000000","0"
"Alert 5 Type","192.168.12.73",0,2280,1,"'0000",0
"Alert 5 Message","192.168.12.73",0,2281,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 6 Time","192.168.12.73",0,2301,4,"'0000000000000000","0"
"Alert 6 Type","192.168.12.73",0,2305,1,"'0000",0
"Alert 6 Message","192.168.12.73",0,2306,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 7 Time","192.168.12.73",0,2326,4,"'0000000000000000","0"
"Alert 7 Type","192.168.12.73",0,2330,1,"'0000",0
"Alert 7 Message","192.168.12.73",0,2331,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Alert 8 Time","192.168.12.73",0,2351,4,"'0000000000000000","0"
"Alert 8 Type","192.168.12.73",0,2355,1,"'0000",0
"Alert 8 Message","192.168.12.73",0,2356,20,"'00000000000000000000000000000000000000000000000000000000000000000000000000000000",""
"Site Operational Mode","192.168.12.73",0,2376,1,"'0000",0
"Site Type","192.168.12.73",0,2377,1,"'0000",0
"Stow Logic","192.168.12.73",0,2378,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"Position: 5 | DeviceType: ","","","","","",""
"====================================================================================================","","","","","",""
"System ID","192.168.12.73",0,2560,3,"'000000000000",""
"Site Name","192.168.12.73",0,2563,10,"'0000000000000000000000000000000000000000",""
"Organization","192.168.12.73",0,2573,10,"'0000000000000000000000000000000000000000",""
"Contact","192.168.12.73",0,2583,10,"'0000000000000000000000000000000000000000",""
"System Uptime","192.168.12.73",0,2593,4,"'0000000000000000","0"
"SW Version","192.168.12.73",0,2597,8,"'00000000000000000000000000000000",""
"Has WX","192.168.12.73",0,2605,1,"'0000",0
"E-Stop Active","192.168.12.73",0,2606,1,"'0000",0
"Tracking Enabled","192.168.12.73",0,2607,1,"'0000",0
"Backtracking Enabled","192.168.12.73",0,2608,1,"'0000",0
"Panel Angle","192.168.12.73",0,2609,2,"'00000000",0
"Tracking State","192.168.12.73",0,2611,1,"'0000",0
"Unit Temp","192.168.12.73",0,2612,2,"'00000000",0
"Battery Voltage","192.168.12.73",0,2614,2,"'00000000",0
"Battery Current","192.168.12.73",0,2616,2,"'00000000",0
"Battery Charged","192.168.12.73",0,2618,1,"'0000",0
"Battery Health","192.168.12.73",0,2619,1,"'0000",0
"Charger Voltage","192.168.12.73",0,2620,2,"'00000000",0
"Charger Current","192.168.12.73",0,2622,2,"'00000000",0
"Solar Voltage","192.168.12.73",0,2624,2,"'00000000",0
"Solar Current","192.168.12.73",0,2626,2,"'00000000",0
"Total Assets","192.168.12.73",0,2628,1,"'0000",0
"Assets Reporting","192.168.12.73",0,2629,1,"'0000",0
"Poll Response Time","192.168.12.73",0,2630,4,"'0000000000000000","0"
"Bridge Addr","192.168.12.73",0,2634,2,"'00000000",0
"Bridge Script CRC","192.168.12.73",0,2636,1,"'0000",0
"Bridge Channel","192.168.12.73",0,2637,1,"'0000",0
"Bridge NET_ID","192.168.12.73",0,2638,1,"'0000",0
"GPS Fix Acquired","192.168.12.73",0,2639,1,"'0000",0
"GPS Fix Time","192.168.12.73",0,2640,4,"'0000000000000000","0"
"Satellites","192.168.12.73",0,2644,1,"'0000",0
"Latitude","192.168.12.73",0,2645,2,"'00000000",0
"Longitude","192.168.12.73",0,2647,2,"'00000000",0
"PPP Up","192.168.12.73",0,2649,1,"'0000",0
"RSSI","192.168.12.73",0,2650,1,"'0000",0
"WAN IP","192.168.12.73",0,2651,8,"'00000000000000000000000000000000",""
"LAN IP","192.168.12.73",0,2659,8,"'00000000000000000000000000000000",""
"Modem Uptime","192.168.12.73",0,2667,2,"'00000000",0
"NTP Sync","192.168.12.73",0,2669,1,"'0000",0
"NTP Server","192.168.12.73",0,2670,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"NTP Offset","192.168.12.73",0,2686,2,"'00000000",0
"Alert 1 Time","192.168.12.73",0,2688,4,"'0000000000000000","0"
"Alert 1 Type","192.168.12.73",0,2692,1,"'0000",0
